epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,29,,,,,0.8541666865348816,0.6505082845687866
1,49,,,0.828125,0.4865405261516571,,
1,59,,,,,0.8166666626930237,0.42685839533805847
2,89,,,,,0.8416666388511658,0.37850525975227356
3,99,,,0.75,0.5170838832855225,,
3,119,,,,,0.8541666865348816,0.3598179519176483
4,149,,,0.84375,0.4301224946975708,,
4,149,,,,,0.862500011920929,0.3361535668373108
5,179,,,,,0.8708333373069763,0.3208819031715393
6,199,,,0.890625,0.28269702196121216,,
6,209,,,,,0.875,0.2868861258029938
7,239,,,,,0.8958333134651184,0.2698884904384613
8,249,,,0.859375,0.33684322237968445,,
8,269,,,,,0.8958333134651184,0.2589948773384094
9,299,,,0.875,0.34119200706481934,,
9,299,,,,,0.9041666388511658,0.24912966787815094
10,329,,,,,0.9166666865348816,0.2243048995733261
11,349,,,0.90625,0.2489185929298401,,
11,359,,,,,0.9041666388511658,0.2543601989746094
12,389,,,,,0.925000011920929,0.21573619544506073
13,399,,,0.890625,0.2946152091026306,,
13,419,,,,,0.9333333373069763,0.1899743378162384
14,449,,,0.890625,0.23556800186634064,,
14,449,,,,,0.9291666746139526,0.1892072707414627
15,479,,,,,0.9375,0.17829588055610657
16,499,,,0.875,0.2632901668548584,,
16,509,,,,,0.9416666626930237,0.16941580176353455
17,539,,,,,0.925000011920929,0.17944179475307465
18,549,,,0.84375,0.4259258508682251,,
18,569,,,,,0.9333333373069763,0.17803655564785004
19,599,,,0.875,0.3037583827972412,,
19,599,,,,,0.9375,0.16329516470432281
20,629,,,,,0.925000011920929,0.1734490990638733
21,649,,,0.984375,0.10383214056491852,,
21,659,,,,,0.9375,0.16083846986293793
22,689,,,,,0.9208333492279053,0.1770237237215042
23,699,,,0.96875,0.15460622310638428,,
23,719,,,,,0.9375,0.16997401416301727
24,749,,,0.90625,0.23891916871070862,,
24,749,,,,,0.9458333253860474,0.1590767800807953
25,779,,,,,0.9375,0.15479393303394318
26,799,,,0.921875,0.30723685026168823,,
26,809,,,,,0.9291666746139526,0.15391525626182556
27,839,,,,,0.9333333373069763,0.16823318600654602
28,849,,,0.9375,0.15218190848827362,,
28,869,,,,,0.949999988079071,0.1654675006866455
29,899,,,0.953125,0.17142847180366516,,
29,899,,,,,0.9416666626930237,0.15441998839378357
30,929,,,,,0.9333333373069763,0.16668781638145447
31,949,,,0.84375,0.312216192483902,,
31,959,,,,,0.9458333253860474,0.1486026793718338
32,989,,,,,0.9333333373069763,0.15607348084449768
33,999,,,0.96875,0.12879596650600433,,
33,1019,,,,,0.925000011920929,0.1628154069185257
34,1049,,,0.90625,0.2256901115179062,,
34,1049,,,,,0.9458333253860474,0.15625092387199402
35,1079,,,,,0.9458333253860474,0.15340138971805573
36,1099,,,0.984375,0.0929720401763916,,
36,1109,,,,,0.9458333253860474,0.15563234686851501
37,1110,0.9083333611488342,0.21112282574176788,,,,
