epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,29,,,,,0.4583333432674408,0.6934264302253723
1,49,,,0.5625,0.6927646994590759,,
1,59,,,,,0.4583333432674408,0.6934071779251099
2,89,,,,,0.4583333432674408,0.6934220194816589
3,99,,,0.578125,0.692664623260498,,
3,119,,,,,0.4583333432674408,0.6934160590171814
4,149,,,0.578125,0.6926731467247009,,
4,149,,,,,0.4583333432674408,0.6934073567390442
5,179,,,,,0.4583333432674408,0.6934098601341248
6,199,,,0.609375,0.6924493312835693,,
6,209,,,,,0.4583333432674408,0.6934154629707336
7,210,0.5375000238418579,0.6929152607917786,,,,
