epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,29,,,,,0.5416666865348816,0.6759912967681885
0,29,,,0.5447916388511658,0.6891892552375793,,
1,59,,,,,0.8208333253860474,0.605774462223053
1,59,,,0.6604166626930237,0.6343047618865967,,
2,89,,,,,0.8333333134651184,0.5383070111274719
2,89,,,0.7135416865348816,0.5878761410713196,,
3,119,,,,,0.8333333134651184,0.5030054450035095
3,119,,,0.7276041507720947,0.5682811141014099,,
4,149,,,,,0.8500000238418579,0.47477665543556213
4,149,,,0.7526041865348816,0.5382329821586609,,
5,179,,,,,0.8666666746139526,0.44741716980934143
5,179,,,0.7723958492279053,0.5086144804954529,,
6,209,,,,,0.8666666746139526,0.4279100298881531
6,209,,,0.7708333134651184,0.5013208389282227,,
7,239,,,,,0.8666666746139526,0.4151064157485962
7,239,,,0.7749999761581421,0.4833499491214752,,
8,269,,,,,0.8666666746139526,0.4049985706806183
8,269,,,0.778124988079071,0.48155122995376587,,
9,299,,,,,0.8708333373069763,0.39511218667030334
9,299,,,0.785937488079071,0.4654022455215454,,
10,329,,,,,0.8708333373069763,0.38639846444129944
10,329,,,0.7875000238418579,0.4642926752567291,,
11,359,,,,,0.875,0.381459504365921
11,359,,,0.7885416746139526,0.4587274491786957,,
12,389,,,,,0.8833333253860474,0.3688221573829651
12,389,,,0.7994791865348816,0.4395520091056824,,
13,419,,,,,0.875,0.36812564730644226
13,419,,,0.7979166507720947,0.44153791666030884,,
14,449,,,,,0.8833333253860474,0.35745853185653687
14,449,,,0.8062499761581421,0.43547824025154114,,
15,479,,,,,0.8791666626930237,0.3582281768321991
15,479,,,0.8109375238418579,0.4316869080066681,,
16,509,,,,,0.875,0.3568072021007538
16,509,,,0.8041666746139526,0.43264302611351013,,
17,539,,,,,0.8916666507720947,0.3434200584888458
17,539,,,0.8197916746139526,0.4253794848918915,,
18,569,,,,,0.887499988079071,0.33986982703208923
18,569,,,0.8203125,0.4110817015171051,,
19,599,,,,,0.8833333253860474,0.3400524854660034
19,599,,,0.8130208253860474,0.42218297719955444,,
20,629,,,,,0.887499988079071,0.3376579284667969
20,629,,,0.8203125,0.41935330629348755,,
21,659,,,,,0.8916666507720947,0.3336373567581177
21,659,,,0.8270833492279053,0.4192115366458893,,
22,689,,,,,0.8916666507720947,0.331979900598526
22,689,,,0.8244791626930237,0.4248233437538147,,
23,719,,,,,0.8916666507720947,0.329155296087265
23,719,,,0.8182291388511658,0.4139294922351837,,
24,749,,,,,0.8916666507720947,0.3251899778842926
24,749,,,0.8192708492279053,0.4077993333339691,,
25,779,,,,,0.8916666507720947,0.3222106397151947
25,779,,,0.832812488079071,0.40524953603744507,,
26,809,,,,,0.887499988079071,0.3196922242641449
26,809,,,0.8255208134651184,0.40470167994499207,,
27,839,,,,,0.8999999761581421,0.3186212480068207
27,839,,,0.8380208611488342,0.3980748951435089,,
28,869,,,,,0.8916666507720947,0.3174404203891754
28,869,,,0.8354166746139526,0.3974471986293793,,
29,899,,,,,0.8916666507720947,0.3162383437156677
29,899,,,0.8223958611488342,0.4095737040042877,,
30,929,,,,,0.8958333134651184,0.3157556653022766
30,929,,,0.8359375,0.3945557773113251,,
31,959,,,,,0.8916666507720947,0.31448718905448914
31,959,,,0.8265625238418579,0.397072970867157,,
32,989,,,,,0.8916666507720947,0.31374284625053406
32,989,,,0.8291666507720947,0.3937917649745941,,
33,1019,,,,,0.8999999761581421,0.30795952677726746
33,1019,,,0.8364583253860474,0.3833114802837372,,
34,1049,,,,,0.8958333134651184,0.305589497089386
34,1049,,,0.8338541388511658,0.37916165590286255,,
35,1079,,,,,0.8958333134651184,0.3059033453464508
35,1079,,,0.840624988079071,0.37779298424720764,,
36,1109,,,,,0.8958333134651184,0.3033961057662964
36,1109,,,0.840624988079071,0.38718730211257935,,
37,1139,,,,,0.9125000238418579,0.30509912967681885
37,1139,,,0.8380208611488342,0.3878859579563141,,
38,1169,,,,,0.9083333611488342,0.3003375828266144
