epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,29,,,,,0.7916666865348816,0.42370161414146423
1,49,,,0.84375,0.37506645917892456,,
1,59,,,,,0.8833333253860474,0.30961471796035767
2,89,,,,,0.8958333134651184,0.31554585695266724
3,99,,,0.75,0.4804452359676361,,
3,119,,,,,0.8791666626930237,0.27677929401397705
4,149,,,0.796875,0.4123634099960327,,
4,149,,,,,0.9041666388511658,0.2662031054496765
5,179,,,,,0.8999999761581421,0.23606303334236145
6,199,,,0.890625,0.23152604699134827,,
6,209,,,,,0.9041666388511658,0.24138793349266052
7,239,,,,,0.9083333611488342,0.2254774570465088
8,249,,,0.921875,0.2564322352409363,,
8,269,,,,,0.9166666865348816,0.23316580057144165
9,299,,,0.796875,0.4007309079170227,,
9,299,,,,,0.9125000238418579,0.2300713062286377
10,329,,,,,0.9208333492279053,0.22559572756290436
11,349,,,0.9375,0.1886548101902008,,
11,359,,,,,0.9333333373069763,0.19052475690841675
12,389,,,,,0.9291666746139526,0.191891148686409
13,399,,,0.78125,0.4419742822647095,,
13,419,,,,,0.9291666746139526,0.16579551994800568
14,449,,,0.875,0.40669912099838257,,
14,449,,,,,0.9208333492279053,0.17713111639022827
15,479,,,,,0.9291666746139526,0.16233223676681519
16,499,,,0.84375,0.2614656984806061,,
16,509,,,,,0.9375,0.15350165963172913
17,539,,,,,0.9333333373069763,0.183561772108078
18,549,,,0.9375,0.2845281958580017,,
18,569,,,,,0.9208333492279053,0.1794138252735138
19,599,,,0.921875,0.17203035950660706,,
19,599,,,,,0.925000011920929,0.17423507571220398
20,629,,,,,0.9458333253860474,0.157400444149971
21,649,,,0.84375,0.28316208720207214,,
21,659,,,,,0.9375,0.1580037921667099
22,660,0.9166666865348816,0.20961466431617737,,,,
