epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,29,,,,,0.6791666746139526,0.6472245454788208
1,49,,,0.734375,0.6212267875671387,,
1,59,,,,,0.8125,0.5795695781707764
2,89,,,,,0.7875000238418579,0.524243950843811
3,99,,,0.734375,0.5359202027320862,,
3,119,,,,,0.8333333134651184,0.4747203290462494
4,149,,,0.78125,0.4595757722854614,,
4,149,,,,,0.8291666507720947,0.45617935061454773
5,179,,,,,0.8041666746139526,0.4470491111278534
6,199,,,0.765625,0.45518985390663147,,
6,209,,,,,0.8333333134651184,0.42360979318618774
7,239,,,,,0.8041666746139526,0.4339289367198944
8,249,,,0.875,0.332660436630249,,
8,269,,,,,0.8541666865348816,0.3875402510166168
9,299,,,0.828125,0.4232751727104187,,
9,299,,,,,0.8583333492279053,0.3792301416397095
10,329,,,,,0.862500011920929,0.37324953079223633
11,349,,,0.828125,0.4348689615726471,,
11,359,,,,,0.862500011920929,0.36714014410972595
12,389,,,,,0.8666666746139526,0.3731178343296051
13,399,,,0.859375,0.41121047735214233,,
13,419,,,,,0.875,0.35715681314468384
14,449,,,0.875,0.39075803756713867,,
14,449,,,,,0.8666666746139526,0.3586325943470001
15,479,,,,,0.8708333373069763,0.3489140272140503
16,499,,,0.875,0.335307240486145,,
16,509,,,,,0.875,0.3610541522502899
17,539,,,,,0.8708333373069763,0.34172680974006653
18,549,,,0.859375,0.34570246934890747,,
18,569,,,,,0.8791666626930237,0.34126976132392883
19,599,,,0.859375,0.425875723361969,,
19,599,,,,,0.8791666626930237,0.3499230444431305
20,629,,,,,0.875,0.3537752330303192
21,649,,,0.78125,0.45347562432289124,,
21,659,,,,,0.887499988079071,0.3358967900276184
22,689,,,,,0.8791666626930237,0.34141913056373596
23,699,,,0.890625,0.3315902054309845,,
23,719,,,,,0.8708333373069763,0.34873875975608826
24,749,,,0.859375,0.3819054961204529,,
24,749,,,,,0.887499988079071,0.32977908849716187
25,779,,,,,0.887499988079071,0.3233172595500946
26,799,,,0.828125,0.40109145641326904,,
26,809,,,,,0.8916666507720947,0.3208438754081726
27,839,,,,,0.887499988079071,0.3190493881702423
28,849,,,0.8125,0.4704286456108093,,
28,869,,,,,0.8916666507720947,0.3152584433555603
29,899,,,0.78125,0.46244269609451294,,
29,899,,,,,0.887499988079071,0.32586559653282166
30,929,,,,,0.887499988079071,0.3165960907936096
31,949,,,0.8125,0.44395431876182556,,
31,959,,,,,0.887499988079071,0.32638850808143616
32,989,,,,,0.8999999761581421,0.30943551659584045
33,999,,,0.78125,0.47220706939697266,,
33,1019,,,,,0.887499988079071,0.31417953968048096
34,1049,,,0.796875,0.40513139963150024,,
34,1049,,,,,0.8833333253860474,0.32816582918167114
35,1079,,,,,0.8916666507720947,0.30970457196235657
36,1099,,,0.859375,0.2983761727809906,,
36,1109,,,,,0.8916666507720947,0.3125573992729187
37,1139,,,,,0.8833333253860474,0.3219756484031677
38,1140,0.8166666626930237,0.40885674953460693,,,,
