epoch,step,test_accuracy,test_loss,val_accuracy,val_loss
0,7,,,0.5458333492279053,0.6745720505714417
1,15,,,0.8000000715255737,0.6418748497962952
2,16,0.7708333730697632,0.6509991884231567,,
