epoch,step,train_accuracy,train_loss,val_accuracy,val_loss
0,29,,,0.824999988079071,0.573354959487915
1,49,0.75,0.4983150064945221,,
1,59,,,0.862500011920929,0.41437390446662903
2,89,,,0.887499988079071,0.3549838960170746
3,99,0.859375,0.40187013149261475,,
3,119,,,0.8958333134651184,0.34036558866500854
4,149,0.796875,0.42224788665771484,,
4,149,,,0.875,0.34135767817497253
5,179,,,0.875,0.31920427083969116
6,199,0.859375,0.3659304976463318,,
6,209,,,0.9083333611488342,0.3102920651435852
7,239,,,0.9083333611488342,0.3044043779373169
8,249,0.828125,0.3779200315475464,,
8,269,,,0.887499988079071,0.29525721073150635
9,299,0.84375,0.4385591745376587,,
9,299,,,0.9166666865348816,0.3030829429626465
10,329,,,0.9083333611488342,0.2859536111354828
11,349,0.828125,0.3755401074886322,,
11,359,,,0.9083333611488342,0.2873328924179077
12,389,,,0.9083333611488342,0.2772483825683594
13,399,0.875,0.32814666628837585,,
13,419,,,0.8999999761581421,0.2775519788265228
14,449,0.84375,0.3184196352958679,,
14,449,,,0.9125000238418579,0.2662968039512634
15,479,,,0.9083333611488342,0.26669949293136597
16,499,0.84375,0.39771461486816406,,
16,509,,,0.9208333492279053,0.2743939757347107
17,539,,,0.9125000238418579,0.26953285932540894
18,549,0.859375,0.32795846462249756,,
18,569,,,0.9125000238418579,0.26080766320228577
19,599,0.859375,0.3060395121574402,,
19,599,,,0.9208333492279053,0.2608782649040222
20,629,,,0.9125000238418579,0.2696305215358734
21,649,0.859375,0.38828155398368835,,
21,659,,,0.8999999761581421,0.2569231688976288
22,689,,,0.9125000238418579,0.2526795268058777
23,699,0.90625,0.34583771228790283,,
23,719,,,0.9083333611488342,0.24661880731582642
24,749,0.8125,0.4492417275905609,,
24,749,,,0.9041666388511658,0.24483834207057953
25,779,,,0.9208333492279053,0.24236446619033813
26,799,0.953125,0.25819581747055054,,
26,809,,,0.9125000238418579,0.24498732388019562
27,839,,,0.925000011920929,0.24050995707511902
28,849,0.875,0.3232027292251587,,
28,869,,,0.9125000238418579,0.2393028289079666
29,899,0.953125,0.3070526123046875,,
29,899,,,0.9125000238418579,0.24626633524894714
30,929,,,0.9166666865348816,0.23059040307998657
31,949,0.9375,0.32663995027542114,,
31,959,,,0.9125000238418579,0.22679106891155243
32,989,,,0.9083333611488342,0.23448671400547028
33,999,0.859375,0.3306446671485901,,
33,1019,,,0.9166666865348816,0.2291056364774704
34,1049,0.9375,0.28752845525741577,,
34,1049,,,0.9083333611488342,0.2254626452922821
35,1079,,,0.9083333611488342,0.23540353775024414
36,1099,0.890625,0.29636770486831665,,
36,1109,,,0.925000011920929,0.22108078002929688
37,1139,,,0.9208333492279053,0.22196775674819946
38,1149,0.84375,0.41113728284835815,,
38,1169,,,0.9125000238418579,0.22746267914772034
39,1199,0.890625,0.26902955770492554,,
39,1199,,,0.9166666865348816,0.22892335057258606
40,1229,,,0.9125000238418579,0.22375790774822235
41,1249,0.90625,0.23376430571079254,,
41,1259,,,0.9166666865348816,0.217331662774086
42,1289,,,0.925000011920929,0.21412603557109833
43,1299,0.859375,0.34097135066986084,,
43,1319,,,0.9166666865348816,0.21581506729125977
44,1349,0.890625,0.3017544448375702,,
44,1349,,,0.925000011920929,0.21376629173755646
45,1379,,,0.9208333492279053,0.21484027802944183
46,1399,0.875,0.3211948275566101,,
46,1409,,,0.9291666746139526,0.21432696282863617
47,1439,,,0.925000011920929,0.2125270515680313
48,1449,0.9375,0.2924090027809143,,
48,1469,,,0.9333333373069763,0.21384941041469574
49,1499,0.890625,0.3078422546386719,,
49,1499,,,0.9375,0.20735028386116028
50,1529,,,0.9375,0.21243375539779663
51,1549,0.84375,0.3421204090118408,,
51,1559,,,0.9291666746139526,0.20379310846328735
52,1589,,,0.925000011920929,0.20272894203662872
53,1599,0.875,0.3000536262989044,,
53,1619,,,0.925000011920929,0.20274551212787628
54,1649,0.890625,0.23199662566184998,,
54,1649,,,0.9333333373069763,0.19618597626686096
55,1679,,,0.925000011920929,0.20426872372627258
56,1699,0.921875,0.26647111773490906,,
56,1709,,,0.9333333373069763,0.2014079988002777
57,1739,,,0.9333333373069763,0.1931016594171524
58,1749,0.9375,0.26404333114624023,,
58,1769,,,0.9291666746139526,0.19188709557056427
59,1799,0.921875,0.22293655574321747,,
59,1799,,,0.925000011920929,0.20358364284038544
60,1829,,,0.925000011920929,0.19219619035720825
61,1849,0.859375,0.38815197348594666,,
61,1859,,,0.925000011920929,0.19717401266098022
62,1889,,,0.9333333373069763,0.19221487641334534
