epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,29,,,,,0.4583333432674408,0.7122501134872437
1,49,,,0.578125,0.6898549199104309,,
1,59,,,,,0.5416666865348816,0.6919689178466797
2,89,,,,,0.5416666865348816,0.6924248933792114
3,99,,,0.515625,0.6929998397827148,,
3,119,,,,,0.5416666865348816,0.6927725672721863
4,149,,,0.546875,0.6895893812179565,,
4,149,,,,,0.4583333432674408,0.6997879147529602
5,179,,,,,0.4583333432674408,0.6948956847190857
6,199,,,0.5625,0.6917601823806763,,
6,209,,,,,0.5416666865348816,0.6905099153518677
7,239,,,,,0.4583333432674408,0.6949872970581055
8,249,,,0.453125,0.6972362399101257,,
8,269,,,,,0.5416666865348816,0.6926851868629456
9,299,,,0.484375,0.6933375597000122,,
9,299,,,,,0.4583333432674408,0.6945608854293823
10,329,,,,,0.5416666865348816,0.6897462010383606
11,349,,,0.453125,0.6968821287155151,,
11,359,,,,,0.4583333432674408,0.6972672939300537
12,389,,,,,0.4583333432674408,0.6931979656219482
13,399,,,0.515625,0.6927139759063721,,
13,419,,,,,0.4583333432674408,0.6939581632614136
14,449,,,0.46875,0.6946355700492859,,
14,449,,,,,0.5416666865348816,0.6925376057624817
15,479,,,,,0.4583333432674408,0.6981011629104614
16,480,0.5375000238418579,0.6907408237457275,,,,
