epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,29,,,,,0.5958333611488342,0.6249529719352722
1,49,,,0.75,0.6120941638946533,,
1,59,,,,,0.8208333253860474,0.5677317976951599
2,89,,,,,0.8291666507720947,0.5009233355522156
3,99,,,0.796875,0.5021694898605347,,
3,119,,,,,0.824999988079071,0.46120259165763855
4,149,,,0.84375,0.46264585852622986,,
4,149,,,,,0.8333333134651184,0.43675097823143005
5,179,,,,,0.8416666388511658,0.40980973839759827
6,199,,,0.765625,0.5165767073631287,,
6,209,,,,,0.8458333611488342,0.39861685037612915
7,239,,,,,0.7833333611488342,0.4420294165611267
8,249,,,0.765625,0.5540204048156738,,
8,269,,,,,0.8583333492279053,0.3771109879016876
9,299,,,0.765625,0.4133690297603607,,
9,299,,,,,0.8583333492279053,0.3850846290588379
10,329,,,,,0.8583333492279053,0.3638015389442444
11,349,,,0.828125,0.40738028287887573,,
11,359,,,,,0.8791666626930237,0.3568863570690155
12,389,,,,,0.8791666626930237,0.3502659499645233
13,399,,,0.75,0.4495343267917633,,
13,419,,,,,0.8500000238418579,0.36498287320137024
14,449,,,0.890625,0.2922316789627075,,
14,449,,,,,0.8208333253860474,0.4019429385662079
15,479,,,,,0.887499988079071,0.3416009247303009
16,499,,,0.828125,0.3814210891723633,,
16,509,,,,,0.8833333253860474,0.33385804295539856
17,539,,,,,0.8541666865348816,0.3554419279098511
18,549,,,0.828125,0.3680936396121979,,
18,569,,,,,0.8541666865348816,0.3552968204021454
19,599,,,0.75,0.5239955186843872,,
19,599,,,,,0.887499988079071,0.3246510922908783
20,629,,,,,0.8708333373069763,0.3369690477848053
21,649,,,0.78125,0.3712169826030731,,
21,659,,,,,0.8916666507720947,0.329770028591156
22,689,,,,,0.887499988079071,0.320368230342865
23,699,,,0.828125,0.37659358978271484,,
23,719,,,,,0.8833333253860474,0.3181815445423126
24,749,,,0.859375,0.32145869731903076,,
24,749,,,,,0.8833333253860474,0.31625640392303467
25,779,,,,,0.8291666507720947,0.38516920804977417
26,799,,,0.859375,0.3275110125541687,,
26,809,,,,,0.8500000238418579,0.3460850119590759
27,839,,,,,0.875,0.3286895155906677
28,849,,,0.875,0.3576485812664032,,
28,869,,,,,0.9041666388511658,0.30746549367904663
29,899,,,0.921875,0.250870943069458,,
29,899,,,,,0.8958333134651184,0.3079698979854584
30,929,,,,,0.9041666388511658,0.3062174618244171
31,949,,,0.84375,0.3909025192260742,,
31,959,,,,,0.875,0.3276577889919281
32,989,,,,,0.887499988079071,0.3222503364086151
33,999,,,0.765625,0.43422722816467285,,
33,1019,,,,,0.8916666507720947,0.31015723943710327
34,1049,,,0.875,0.3539332151412964,,
34,1049,,,,,0.9041666388511658,0.29964107275009155
35,1079,,,,,0.8958333134651184,0.30400383472442627
36,1099,,,0.859375,0.3017585873603821,,
36,1109,,,,,0.9041666388511658,0.2984250783920288
37,1139,,,,,0.8999999761581421,0.29762011766433716
38,1149,,,0.828125,0.43198245763778687,,
38,1169,,,,,0.9041666388511658,0.2975396513938904
39,1199,,,0.875,0.3033861219882965,,
39,1199,,,,,0.8999999761581421,0.3029775023460388
40,1229,,,,,0.9083333611488342,0.2988984286785126
41,1249,,,0.8125,0.3682672679424286,,
41,1259,,,,,0.8708333373069763,0.3205556869506836
42,1289,,,,,0.8958333134651184,0.2966492474079132
43,1299,,,0.859375,0.36709079146385193,,
43,1319,,,,,0.9125000238418579,0.29703763127326965
44,1349,,,0.796875,0.40351957082748413,,
44,1349,,,,,0.8833333253860474,0.3084716200828552
45,1379,,,,,0.9083333611488342,0.29719454050064087
46,1399,,,0.859375,0.3145884871482849,,
46,1409,,,,,0.9125000238418579,0.29875537753105164
47,1439,,,,,0.9083333611488342,0.29323819279670715
48,1449,,,0.890625,0.2835921049118042,,
48,1469,,,,,0.8791666626930237,0.3114420473575592
49,1499,,,0.859375,0.30441319942474365,,
49,1499,,,,,0.8708333373069763,0.3185090720653534
50,1529,,,,,0.8958333134651184,0.29689788818359375
51,1549,,,0.8125,0.36994245648384094,,
51,1559,,,,,0.887499988079071,0.29904282093048096
52,1589,,,,,0.8666666746139526,0.32644322514533997
53,1590,0.8125,0.4089880585670471,,,,
