epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,29,,,,,0.7958333492279053,0.4234541952610016
1,49,,,0.78125,0.5486210584640503,,
1,59,,,,,0.875,0.32498282194137573
2,89,,,,,0.8791666626930237,0.29874542355537415
3,99,,,0.828125,0.32582271099090576,,
3,119,,,,,0.8916666507720947,0.28074195981025696
4,149,,,0.890625,0.26831451058387756,,
4,149,,,,,0.9166666865348816,0.25234442949295044
5,179,,,,,0.8958333134651184,0.2491905838251114
6,199,,,0.890625,0.26156917214393616,,
6,209,,,,,0.9166666865348816,0.2261982262134552
7,239,,,,,0.8583333492279053,0.30679556727409363
8,249,,,0.84375,0.31338873505592346,,
8,269,,,,,0.9166666865348816,0.20972369611263275
9,299,,,0.9375,0.19478926062583923,,
9,299,,,,,0.9375,0.18882432579994202
10,329,,,,,0.925000011920929,0.17090249061584473
11,349,,,0.921875,0.2271639108657837,,
11,359,,,,,0.9166666865348816,0.18823100626468658
12,389,,,,,0.9291666746139526,0.1842392534017563
13,399,,,0.96875,0.18969324231147766,,
13,419,,,,,0.9291666746139526,0.17021560668945312
14,449,,,0.875,0.3470962345600128,,
14,449,,,,,0.9291666746139526,0.16933128237724304
15,479,,,,,0.9375,0.16278879344463348
16,499,,,0.921875,0.2145078182220459,,
16,509,,,,,0.9333333373069763,0.16282223165035248
17,539,,,,,0.9333333373069763,0.1439708173274994
18,549,,,0.90625,0.20369523763656616,,
18,569,,,,,0.9333333373069763,0.1350763738155365
19,599,,,0.890625,0.2583974599838257,,
19,599,,,,,0.9375,0.14935797452926636
20,629,,,,,0.9333333373069763,0.1841285228729248
21,649,,,0.9375,0.2048894762992859,,
21,659,,,,,0.9416666626930237,0.15622715651988983
22,689,,,,,0.9416666626930237,0.14116133749485016
23,699,,,0.9375,0.16166287660598755,,
23,719,,,,,0.9375,0.12967544794082642
24,749,,,0.953125,0.10310935974121094,,
24,749,,,,,0.9375,0.14687089622020721
25,779,,,,,0.9333333373069763,0.13228276371955872
26,799,,,0.84375,0.3156697154045105,,
26,809,,,,,0.9458333253860474,0.1455460488796234
27,839,,,,,0.9541666507720947,0.139376699924469
28,849,,,0.890625,0.3133609890937805,,
28,869,,,,,0.9458333253860474,0.1282636523246765
29,899,,,0.9375,0.21295379102230072,,
29,899,,,,,0.9541666507720947,0.12549489736557007
30,929,,,,,0.9458333253860474,0.14804419875144958
31,949,,,0.90625,0.1674806773662567,,
31,959,,,,,0.9375,0.12717735767364502
32,989,,,,,0.9458333253860474,0.14682169258594513
33,999,,,0.90625,0.21509987115859985,,
33,1019,,,,,0.9166666865348816,0.2129899561405182
34,1049,,,0.984375,0.08528070151805878,,
34,1049,,,,,0.949999988079071,0.11776813864707947
35,1079,,,,,0.9375,0.12462831288576126
36,1099,,,0.921875,0.2029213011264801,,
36,1109,,,,,0.9458333253860474,0.13442619144916534
37,1139,,,,,0.9375,0.15555089712142944
38,1149,,,0.875,0.21087056398391724,,
38,1169,,,,,0.9416666626930237,0.12503285706043243
39,1199,,,0.921875,0.13097763061523438,,
39,1199,,,,,0.949999988079071,0.12079606205224991
40,1200,0.9291666746139526,0.16593757271766663,,,,
