epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,29,,,,,0.7583333253860474,0.5727995038032532
1,49,,,0.78125,0.5009068250656128,,
1,59,,,,,0.8458333611488342,0.44309693574905396
2,89,,,,,0.8708333373069763,0.39024099707603455
3,99,,,0.859375,0.36438411474227905,,
3,119,,,,,0.8708333373069763,0.3621755838394165
4,149,,,0.875,0.33411505818367004,,
4,149,,,,,0.8791666626930237,0.34612980484962463
5,179,,,,,0.8833333253860474,0.34038832783699036
6,199,,,0.859375,0.3316018581390381,,
6,209,,,,,0.887499988079071,0.319348007440567
7,239,,,,,0.8999999761581421,0.31407827138900757
8,249,,,0.734375,0.45176243782043457,,
8,269,,,,,0.9041666388511658,0.3083258867263794
9,299,,,0.78125,0.48439058661460876,,
9,299,,,,,0.8708333373069763,0.31717681884765625
10,329,,,,,0.8916666507720947,0.2935486137866974
11,349,,,0.890625,0.309464693069458,,
11,359,,,,,0.8833333253860474,0.2982092797756195
12,389,,,,,0.8958333134651184,0.28739410638809204
13,399,,,0.84375,0.39172297716140747,,
13,419,,,,,0.9041666388511658,0.2894558906555176
14,449,,,0.90625,0.33156949281692505,,
14,449,,,,,0.9041666388511658,0.28854089975357056
15,479,,,,,0.8958333134651184,0.27902984619140625
16,499,,,0.828125,0.34803348779678345,,
16,509,,,,,0.8958333134651184,0.2828047573566437
17,539,,,,,0.8916666507720947,0.27216392755508423
18,549,,,0.859375,0.35772937536239624,,
18,569,,,,,0.9083333611488342,0.26891028881073
19,599,,,0.875,0.3496493995189667,,
19,599,,,,,0.9125000238418579,0.2668044865131378
20,629,,,,,0.9083333611488342,0.26761630177497864
21,649,,,0.8125,0.4904536306858063,,
21,659,,,,,0.9166666865348816,0.2656623125076294
22,689,,,,,0.9041666388511658,0.25859299302101135
23,699,,,0.8125,0.425031840801239,,
23,719,,,,,0.9041666388511658,0.2588615119457245
24,749,,,0.90625,0.2609204649925232,,
24,749,,,,,0.9041666388511658,0.2540372312068939
25,779,,,,,0.9041666388511658,0.26359623670578003
26,799,,,0.890625,0.2944225072860718,,
26,809,,,,,0.925000011920929,0.25697824358940125
27,839,,,,,0.9166666865348816,0.2568063735961914
28,849,,,0.84375,0.37317925691604614,,
28,869,,,,,0.9208333492279053,0.24766264855861664
29,899,,,0.90625,0.24913161993026733,,
29,899,,,,,0.9166666865348816,0.25116947293281555
30,929,,,,,0.9166666865348816,0.24505123496055603
31,949,,,0.78125,0.41860705614089966,,
31,959,,,,,0.9166666865348816,0.2420082837343216
32,989,,,,,0.9125000238418579,0.241054505109787
33,999,,,0.796875,0.38166946172714233,,
33,1019,,,,,0.9208333492279053,0.23569339513778687
34,1049,,,0.875,0.32230710983276367,,
34,1049,,,,,0.9166666865348816,0.23626160621643066
35,1079,,,,,0.9166666865348816,0.2356601059436798
36,1099,,,0.953125,0.34622877836227417,,
36,1109,,,,,0.9208333492279053,0.2342713475227356
37,1139,,,,,0.9083333611488342,0.2300315499305725
38,1149,,,0.9375,0.22245831787586212,,
38,1169,,,,,0.9125000238418579,0.23632898926734924
39,1199,,,0.90625,0.2382229119539261,,
39,1199,,,,,0.9125000238418579,0.2429749220609665
40,1229,,,,,0.8999999761581421,0.2410847693681717
41,1249,,,0.9375,0.2608115077018738,,
41,1259,,,,,0.9125000238418579,0.22541444003582
42,1289,,,,,0.9208333492279053,0.22593431174755096
43,1299,,,0.875,0.3063299059867859,,
43,1319,,,,,0.925000011920929,0.2288745939731598
44,1349,,,0.875,0.2599097788333893,,
44,1349,,,,,0.9125000238418579,0.23337335884571075
45,1379,,,,,0.9166666865348816,0.22329851984977722
46,1399,,,0.84375,0.3307880759239197,,
46,1409,,,,,0.9125000238418579,0.2232007384300232
47,1439,,,,,0.9125000238418579,0.22792358696460724
48,1449,,,0.953125,0.19792526960372925,,
48,1469,,,,,0.9125000238418579,0.21591421961784363
49,1499,,,0.875,0.3692346513271332,,
49,1499,,,,,0.9166666865348816,0.22354790568351746
50,1529,,,,,0.9125000238418579,0.21626237034797668
51,1549,,,0.875,0.27107205986976624,,
51,1559,,,,,0.9208333492279053,0.21829360723495483
52,1589,,,,,0.9208333492279053,0.2188466489315033
53,1599,,,0.859375,0.39467287063598633,,
53,1619,,,,,0.9291666746139526,0.21774981915950775
54,1620,0.8958333134651184,0.2915322482585907,,,,
