epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,29,,,,,0.7875000238418579,0.6863874197006226
1,49,,,0.5,0.6893131732940674,,
1,59,,,,,0.8291666507720947,0.6745988130569458
2,89,,,,,0.7041666507720947,0.6589433550834656
3,99,,,0.8125,0.6487560272216797,,
3,119,,,,,0.824999988079071,0.6041010022163391
4,149,,,0.734375,0.571215808391571,,
4,149,,,,,0.8166666626930237,0.5416738986968994
5,179,,,,,0.7833333611488342,0.4958660900592804
6,199,,,0.8125,0.4688119888305664,,
6,209,,,,,0.8458333611488342,0.43946918845176697
7,239,,,,,0.8333333134651184,0.40797704458236694
8,249,,,0.765625,0.4499238133430481,,
8,269,,,,,0.8416666388511658,0.39043930172920227
9,299,,,0.828125,0.4028802514076233,,
9,299,,,,,0.8583333492279053,0.37357214093208313
10,329,,,,,0.8416666388511658,0.3837687373161316
11,349,,,0.875,0.35418903827667236,,
11,359,,,,,0.862500011920929,0.35010528564453125
12,389,,,,,0.8541666865348816,0.3553403913974762
13,399,,,0.828125,0.4446086883544922,,
13,419,,,,,0.8708333373069763,0.33906301856040955
14,449,,,0.875,0.27342915534973145,,
14,449,,,,,0.8708333373069763,0.3292849361896515
15,479,,,,,0.875,0.32831165194511414
16,499,,,0.671875,0.5663567185401917,,
16,509,,,,,0.875,0.3189532458782196
17,539,,,,,0.8833333253860474,0.3165925443172455
18,549,,,0.90625,0.28367695212364197,,
18,569,,,,,0.8833333253860474,0.3127204179763794
19,599,,,0.796875,0.4095270335674286,,
19,599,,,,,0.887499988079071,0.3053426444530487
20,629,,,,,0.887499988079071,0.3030856251716614
21,649,,,0.921875,0.2351706176996231,,
21,659,,,,,0.8916666507720947,0.30095022916793823
22,689,,,,,0.8958333134651184,0.2973942756652832
23,699,,,0.890625,0.24197083711624146,,
23,719,,,,,0.887499988079071,0.29650449752807617
24,749,,,0.828125,0.358437180519104,,
24,749,,,,,0.8916666507720947,0.29255494475364685
25,779,,,,,0.9041666388511658,0.28824982047080994
26,799,,,0.84375,0.3082226514816284,,
26,809,,,,,0.887499988079071,0.2868739366531372
27,839,,,,,0.887499988079071,0.28498542308807373
28,849,,,0.890625,0.324815571308136,,
28,869,,,,,0.8958333134651184,0.2804042100906372
29,899,,,0.859375,0.31997382640838623,,
29,899,,,,,0.8791666626930237,0.28834113478660583
30,929,,,,,0.8958333134651184,0.2776130139827728
31,949,,,0.875,0.32330286502838135,,
31,959,,,,,0.9083333611488342,0.27498453855514526
32,989,,,,,0.8666666746139526,0.30618730187416077
33,999,,,0.84375,0.4062720239162445,,
33,1019,,,,,0.9166666865348816,0.2735113799571991
34,1049,,,0.953125,0.21981701254844666,,
34,1049,,,,,0.8791666626930237,0.28391769528388977
35,1079,,,,,0.887499988079071,0.27277642488479614
36,1099,,,0.921875,0.21518220007419586,,
36,1109,,,,,0.8791666626930237,0.2787672281265259
37,1139,,,,,0.8791666626930237,0.2762870192527771
38,1149,,,0.859375,0.3114863634109497,,
38,1169,,,,,0.9125000238418579,0.26832786202430725
39,1199,,,0.8125,0.33206138014793396,,
39,1199,,,,,0.8833333253860474,0.2723904550075531
40,1229,,,,,0.887499988079071,0.2702069580554962
41,1249,,,0.84375,0.29611578583717346,,
41,1259,,,,,0.8999999761581421,0.265691339969635
42,1289,,,,,0.9125000238418579,0.2625683844089508
43,1299,,,0.859375,0.2930148243904114,,
43,1319,,,,,0.8916666507720947,0.26442578434944153
44,1349,,,0.875,0.31017589569091797,,
44,1349,,,,,0.887499988079071,0.26980334520339966
45,1379,,,,,0.8999999761581421,0.25953209400177
46,1399,,,0.859375,0.35287055373191833,,
46,1409,,,,,0.9125000238418579,0.2573474943637848
47,1439,,,,,0.9125000238418579,0.2561276853084564
48,1449,,,0.921875,0.28163158893585205,,
48,1469,,,,,0.9166666865348816,0.25390130281448364
49,1499,,,0.859375,0.40085887908935547,,
49,1499,,,,,0.8708333373069763,0.2828092873096466
50,1529,,,,,0.9166666865348816,0.25096285343170166
51,1549,,,0.796875,0.41360217332839966,,
51,1559,,,,,0.9166666865348816,0.24959780275821686
52,1589,,,,,0.9125000238418579,0.2503259778022766
53,1599,,,0.859375,0.3093981146812439,,
53,1619,,,,,0.9208333492279053,0.24716247618198395
54,1649,,,0.875,0.2228972166776657,,
54,1649,,,,,0.9083333611488342,0.2502075135707855
55,1679,,,,,0.9208333492279053,0.24474017322063446
56,1699,,,0.921875,0.2706788182258606,,
56,1709,,,,,0.9208333492279053,0.24267199635505676
57,1739,,,,,0.9125000238418579,0.24349603056907654
58,1749,,,0.890625,0.2902544140815735,,
58,1769,,,,,0.9208333492279053,0.23930144309997559
